Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,106000,106500,105000,105000,104876.6641,347492
2017-07-21,105500,108000,105000,108000,107873.1406,595184
2017-07-24,108500,110500,107000,109000,108871.9688,628757
2017-07-25,109500,110000,107000,107500,107373.7266,324849
2017-07-26,108000,108500,104000,105500,105376.0781,467047
2017-07-27,107500,109500,106000,109500,109371.375,755654
2017-07-28,112500,114000,109500,111000,110869.6172,1687002
2017-07-31,113500,121000,112500,120000,119859.0469,3120156
2017-08-01,121500,124500,117000,118000,117861.3906,2508504
2017-08-02,113500,116500,110500,114500,114365.5078,2152274
2017-08-03,116500,117000,112500,114500,114365.5078,1007302
2017-08-04,113500,115500,110000,110500,110370.2031,941027
2017-08-07,111000,112500,108000,110500,110370.2031,678083
2017-08-08,110500,113500,110500,111000,110869.6172,478659
2017-08-09,111000,111500,107500,108500,108372.5547,623624
2017-08-10,110000,111500,107000,108500,108372.5547,790214
2017-08-11,107500,110500,106500,110000,109870.7891,783638
2017-08-14,112500,114000,111000,113000,112867.2656,705373
2017-08-16,114500,115000,113500,114500,114365.5078,545437
2017-08-17,115500,116000,113500,114500,114365.5078,359227
2017-08-18,113000,115000,112500,113500,113366.6797,353415
2017-08-21,114000,115000,113000,114000,113866.0938,257439
2017-08-22,114500,116500,113000,115500,115364.3281,434151
2017-08-23,116500,116500,114500,115000,114864.9141,284841
2017-08-24,115500,118500,115500,116500,116363.1563,494534
2017-08-25,117500,118500,116500,117500,117361.9844,411686
2017-08-28,118000,118500,116500,118000,117861.3906,298415
2017-08-29,117000,120000,116500,119000,118860.2188,679797
2017-08-30,122500,125000,122000,122000,121856.6953,1279951
2017-08-31,123000,124500,122000,123000,122855.5234,615126
2017-09-01,123000,123000,120000,122000,121856.6953,509704
2017-09-04,122000,122000,122000,122000,121856.6953,0
2017-09-05,121500,126000,120500,125500,125352.5859,1049572
2017-09-06,126000,129000,125000,128000,127849.6484,1081421
2017-09-07,128000,129000,126500,127000,126850.8203,635882
2017-09-08,128000,130000,127500,129500,129347.8828,654931
2017-09-11,130000,132000,129500,130500,130346.7109,664143
2017-09-12,130500,131000,128500,130500,130346.7109,640335
2017-09-13,130000,130000,127000,127500,127350.2344,972020
2017-09-14,129000,133000,128500,132000,131844.9531,2492580
2017-09-15,132500,136000,131000,135500,135340.8438,1146819
2017-09-18,136500,137500,135000,135500,135340.8438,718173
2017-09-19,135000,137000,132000,137000,136839.0781,646410
2017-09-20,138000,144000,138000,142500,142332.6094,1321516
2017-09-21,144000,144500,139500,142000,141833.2031,815469
2017-09-25,136000,140500,134000,138500,138337.3125,693111
2017-09-26,138500,138500,138500,138500,138337.3125,0
